伊丽莎白·莫斯/格温多兰·克里斯蒂/大卫·丹席克/爱丽丝·恩格勒特/妮可·基德曼/伊文·莱斯利/Igor Smiljevic/Rob Flanagan,1022566/1319269/1276058/1322351/1054442/1204255/1216847/1224414
伊丽莎白·莫斯/霍利·亨特/彼得·穆兰/Sarah Valentine/Cohen Holloway/大卫·文翰/Thomas M. Wright,1022566/1031838/1041201/1178400/*/1049573/*
乔什·哈奈特/黛安·克鲁格/萝丝·拜恩/马修·里沃德,1025145/1025151/1022562/1004615
李宗翰/赵子琪/李乃文/张正阳/叶璇/曾黎/陈瑾/李净洋/文章,1274732/1275536/1274530/1276088/1005537/1053438/1309215/1314630/1011513
吉谷彩子/入野自由/梶裕贵/广桥凉/福圆美里,1318424/1005438/1052297/1207422/1314136
里卡多·达林/索蕾达·维拉米尔/巴勃罗·拉戈/Javier Godino/古勒莫·法兰塞拉/何塞·路易斯·加尔西/卡拉·奎沃多,1013967/1018087/1027560/*/1005003/1008075/1047890
妮可·基德曼/朱莉娅·罗伯茨/迈克尔·凯利/迪恩·诺里斯/切瓦特·埃加福特/琳登·史密斯/佐伊·格瑞艾姆/乔 科尔/唐·哈维/罗斯·帕特里奇/约翰·帕帕席德拉,1054442/1054532/1104615/1315784/1010581/1345325/1342067/1317564/1345203/1134716/1293922
NotDefined,NotDefined
李果/闫鹿杨/庄森/谢钟灵/朱洪振/曾晨/戴维/范淑珍/盛洋/李佳妮,1356918/1331032/1356919/1356920/1356921/1356922/1356917/1356923/1356924/1356925
彼得·克劳斯/凯文·波拉克/朱丽安娜· 玛格丽丝/彼得·雅各布森/丹尼斯·克里斯托弗/艾丽·范宁,1022637/1041150/1017890/1002767/1074908/1025133
Jon Thor Birgisson/Orri P. Dyrason/Georg Holm/Kjartan Sveinsson,1047896/1011807/1054201/*
中村苍/本乡奏多/樱井美南/五十岚信次郎/京野琴美/斉木しげる/滨田麻里/高野浩幸/金山一彦/宮里駿/宇野愛海/叶山奖之 Shono Hayama/碓井将大/樋井明日香/户塚纯贵/椎名琴音/りりィ/杉咲花/中野裕太/河原さぶ,1313341/1041841/1337499/1023653/1109839/*/1319687/1337707/1026182/*/*/*/1328908/1273953/1321044/*/*/1318811/1322016/*
加里·格兰特/奥黛丽·赫本/沃尔特·马修/詹姆斯·柯本/乔治·肯尼迪,1053563/1054449/1027849/1049562/1007031
阿格涅丝卡·玛多特-加巴卡/维克多·兹波罗夫斯基/雅酷朴·盖尔秀/帕特里夏·沃莉/米罗斯拉夫·克罗博特/波利斯·席克/托马斯·科特/Andrzej Grabowski/卡翠娜·赫尔曼/马尔钦·博萨克/安德烈·卡诺普卡/塞巴斯蒂安·波拉克/凯瑟琳·斯凯娜卡/索菲亚·威奇拉克斯/亚当·博比克,1118041/1167926/1316622/1368217/1042809/1050178/1196338/1095439/1174216/1197407/1368218/1368219/1368220/1348532/1368221
克劳斯.马利亚.布朗道尔/克蕾丝蒂娜.扬达/罗尔夫.霍庇,*/*/*
江原真二郎/中原ひとみ/中村雅子,*/*/*
西恩·潘/乔什·布洛林/詹姆斯·弗兰科/迭戈·卢纳/埃米尔·赫施/艾丽森·皮尔/丹尼斯·欧哈拉,1054527/1004568/1019001/1013867/1040998/1036381/1013900
NotDefined,NotDefined
英泽,*
约翰·休斯顿/拉蔻儿·薇芝/梅·韦斯特,1025239/1049509/1022806
拉賈斯·巴拉索維茲/保罗·博纳切利,1061607/1061841
乔姬·韦瑟斯/格里菲斯·琼斯/约翰麦卡勒姆 John McCallum,1032561/1041752/*
米兰达·哈特/汤姆·艾利斯/派翠西亚·霍吉/萨拉·哈德兰/James Holmes/Sally Phillips,1275224/1274544/1028021/1275939/*/*
米兰达·哈特/汤姆·艾利斯/萨拉·哈德兰/莎莉·菲利普斯/派翠西亚·霍吉/娜奥米·本特利/杰森·沃特金斯,1275224/1274544/1275939/1134765/1028021/1318679/1169140
